alpha beta ele Cz
55 20 -25 -1.697
60 20 -25 -1.75
70 20 -25 -1.853
80 20 -25 -1.864
90 20 -25 -1.89
-20 25 -25 1.14
-15 25 -25 1.06
-10 25 -25 0.815
-5 25 -25 0.394
0 25 -25 0.123
5 25 -25 -0.133
10 25 -25 -0.402
15 25 -25 -0.664
20 25 -25 -0.943
25 25 -25 -1.217
30 25 -25 -1.463
35 25 -25 -1.59
40 25 -25 -1.671
45 25 -25 -1.689
50 25 -25 -1.623
55 25 -25 -1.706
60 25 -25 -1.75
70 25 -25 -1.799
80 25 -25 -1.885
90 25 -25 -1.969
-20 30 -25 1.1
-15 30 -25 1.005
-10 30 -25 0.78
-5 30 -25 0.403
0 30 -25 0.159
5 30 -25 -0.099
10 30 -25 -0.341
15 30 -25 -0.602
20 30 -25 -0.873
25 30 -25 -1.167
30 30 -25 -1.389
35 30 -25 -1.531
40 30 -25 -1.63
45 30 -25 -1.663
50 30 -25 -1.447
55 30 -25 -1.618
60 30 -25 -1.688
70 30 -25 -1.791
80 30 -25 -1.834
90 30 -25 -1.97
-20 -30 -10 1.149
-15 -30 -10 0.948
-10 -30 -10 0.755
-5 -30 -10 0.32
0 -30 -10 0.086
5 -30 -10 -0.192
10 -30 -10 -0.455
15 -30 -10 -0.714
20 -30 -10 -1.005
25 -30 -10 -1.313
30 -30 -10 -1.418
35 -30 -10 -1.542
40 -30 -10 -1.671
45 -30 -10 -1.615
50 -30 -10 -1.406
55 -30 -10 -1.688
60 -30 -10 -1.724
70 -30 -10 -1.743
80 -30 -10 -1.935
90 -30 -10 -1.99
-20 -25 -10 1.214
-15 -25 -10 0.995
-10 -25 -10 0.778
-5 -25 -10 0.32
0 -25 -10 0.061
5 -25 -10 -0.232
10 -25 -10 -0.522
15 -25 -10 -0.784
20 -25 -10 -1.088
25 -25 -10 -1.378
30 -25 -10 -1.498
35 -25 -10 -1.629
40 -25 -10 -1.768
45 -25 -10 -1.577
50 -25 -10 -1.592
55 -25 -10 -1.738
60 -25 -10 -1.793
70 -25 -10 -1.754
80 -25 -10 -1.993
90 -25 -10 -2.009
-20 -20 -10 1.264
-15 -20 -10 1.021
-10 -20 -10 0.777
-5 -20 -10 0.327
0 -20 -10 0.041
5 -20 -10 -0.262
10 -20 -10 -0.575
15 -20 -10 -0.846
20 -20 -10 -1.161
25 -20 -10 -1.445
30 -20 -10 -1.578
35 -20 -10 -1.719
40 -20 -10 -1.862
45 -20 -10 -1.77
50 -20 -10 -1.716
55 -20 -10 -1.721
60 -20 -10 -1.8
70 -20 -10 -1.811
80 -20 -10 -1.979
90 -20 -10 -1.95
-20 -15 -10 1.294
-15 -15 -10 1.047
-10 -15 -10 0.788
-5 -15 -10 0.332
0 -15 -10 0.039
5 -15 -10 -0.279
10 -15 -10 -0.611
15 -15 -10 -0.898
20 -15 -10 -1.223
25 -15 -10 -1.509
30 -15 -10 -1.663
35 -15 -10 -1.819
40 -15 -10 -1.967
45 -15 -10 -1.963
50 -15 -10 -1.944
55 -15 -10 -1.809
60 -15 -10 -1.756
70 -15 -10 -1.781
80 -15 -10 -1.991
90 -15 -10 -1.979
-20 -10 -10 1.327
-15 -10 -10 1.043
-10 -10 -10 0.801
-5 -10 -10 0.35
0 -10 -10 0.052
5 -10 -10 -0.28
10 -10 -10 -0.624
15 -10 -10 -0.933
20 -10 -10 -1.263
25 -10 -10 -1.56
30 -10 -10 -1.746
35 -10 -10 -1.919
40 -10 -10 -2.074
45 -10 -10 -2.13
50 -10 -10 -2.026
55 -10 -10 -2.014
60 -10 -10 -1.949
70 -10 -10 -1.839
80 -10 -10 -1.928
90 -10 -10 -2.006
-20 -8 -10 1.283
-15 -8 -10 1.04
-10 -8 -10 0.799
-5 -8 -10 0.365
0 -8 -10 0.056
5 -8 -10 -0.284
10 -8 -10 -0.632
15 -8 -10 -0.949
20 -8 -10 -1.284
25 -8 -10 -1.566
30 -8 -10 -1.825
35 -8 -10 -1.977
40 -8 -10 -2.077
45 -8 -10 -2.217
50 -8 -10 -2.081
55 -8 -10 -2.048
60 -8 -10 -1.923
70 -8 -10 -1.897
80 -8 -10 -1.877
90 -8 -10 -2.085
-20 -6 -10 1.266
-15 -6 -10 1.037
-10 -6 -10 0.803
-5 -6 -10 0.37
0 -6 -10 0.062
5 -6 -10 -0.281
10 -6 -10 -0.641
15 -6 -10 -0.967
20 -6 -10 -1.299
25 -6 -10 -1.583
30 -6 -10 -1.848
35 -6 -10 -2.033
40 -6 -10 -2.151
45 -6 -10 -2.184
50 -6 -10 -2.081
55 -6 -10 -2.112
60 -6 -10 -1.975
70 -6 -10 -2.004
80 -6 -10 -1.931
90 -6 -10 -2.019
-20 -4 -10 1.245
-15 -4 -10 1.042
-10 -4 -10 0.804
-5 -4 -10 0.372
0 -4 -10 0.062
5 -4 -10 -0.287
10 -4 -10 -0.647
15 -4 -10 -0.976
