alpha beta ele Cx
20 30 -10 0.1194
25 30 -10 0.1348
30 30 -10 0.1149
35 30 -10 0.1227
40 30 -10 0.1397
45 30 -10 0.1482
50 30 -10 0.1329
55 30 -10 0.1339
60 30 -10 0.1341
70 30 -10 0.1278
80 30 -10 0.122
90 30 -10 0.1279
-20 -30 0 -0.1072
-15 -30 0 -0.1006
-10 -30 0 -0.0853
-5 -30 0 -0.0546
0 -30 0 -0.0355
5 -30 0 -0.0012
10 -30 0 0.0359
15 -30 0 0.078
20 -30 0 0.1183
25 -30 0 0.1267
30 -30 0 0.0941
35 -30 0 0.0885
40 -30 0 0.1089
45 -30 0 0.1232
50 -30 0 0.1135
55 -30 0 0.1137
60 -30 0 0.1037
70 -30 0 0.0857
80 -30 0 0.0842
90 -30 0 0.0847
-20 -25 0 -0.1061
-15 -25 0 -0.1035
-10 -25 0 -0.0901
-5 -25 0 -0.0597
0 -25 0 -0.0381
5 -25 0 0
10 -25 0 0.0491
15 -25 0 0.0845
20 -25 0 0.1236
25 -25 0 0.1367
30 -25 0 0.1146
35 -25 0 0.0964
40 -25 0 0.1166
45 -25 0 0.1197
50 -25 0 0.1185
55 -25 0 0.1195
60 -25 0 0.109
70 -25 0 0.0858
80 -25 0 0.0807
90 -25 0 0.0813
-20 -20 0 -0.1129
-15 -20 0 -0.1025
-10 -20 0 -0.0903
-5 -20 0 -0.0637
0 -20 0 -0.0404
5 -20 0 0.001
10 -20 0 0.0458
15 -20 0 0.0932
20 -20 0 0.1219
25 -20 0 0.1359
30 -20 0 0.1182
35 -20 0 0.1109
40 -20 0 0.1119
45 -20 0 0.1228
50 -20 0 0.1184
55 -20 0 0.1146
60 -20 0 0.1094
70 -20 0 0.0857
80 -20 0 0.0787
90 -20 0 0.0798
-20 -15 0 -0.1096
-15 -15 0 -0.0998
-10 -15 0 -0.0906
-5 -15 0 -0.0662
0 -15 0 -0.0416
5 -15 0 0.0004
10 -15 0 0.049
15 -15 0 0.0979
20 -15 0 0.121
25 -15 0 0.1347
30 -15 0 0.1322
35 -15 0 0.1187
40 -15 0 0.121
45 -15 0 0.1231
50 -15 0 0.1171
55 -15 0 0.1161
60 -15 0 0.1049
70 -15 0 0.0796
80 -15 0 0.0778
90 -15 0 0.0824
-20 -10 0 -0.1084
-15 -10 0 -0.0966
-10 -10 0 -0.0896
-5 -10 0 -0.0727
0 -10 0 -0.045
5 -10 0 -0.0036
10 -10 0 0.0503
15 -10 0 0.1028
20 -10 0 0.1287
25 -10 0 0.1358
30 -10 0 0.1385
35 -10 0 0.1333
40 -10 0 0.1351
45 -10 0 0.1319
50 -10 0 0.1243
55 -10 0 0.1209
60 -10 0 0.1109
70 -10 0 0.0851
80 -10 0 0.0791
90 -10 0 0.0843
-20 -8 0 -0.104
-15 -8 0 -0.0966
-10 -8 0 -0.0903
-5 -8 0 -0.0755
0 -8 0 -0.0461
