alpha beta ele Cm
45 4 -10 -0.058
50 4 -10 -0.0455
55 4 -10 -0.0553
60 4 -10 -0.1045
70 4 -10 -0.3001
80 4 -10 -0.4185
90 4 -10 -0.5618
-20 6 -10 0.0821
-15 6 -10 0.0481
-10 6 -10 0.028
-5 6 -10 0.01
0 6 -10 0.037
5 6 -10 0.051
10 6 -10 0.052
15 6 -10 0.07
20 6 -10 0.062
25 6 -10 0.044
30 6 -10 0.045
35 6 -10 0.012
40 6 -10 -0.044
45 6 -10 -0.072
50 6 -10 -0.0542
55 6 -10 -0.0602
60 6 -10 -0.1247
70 6 -10 -0.2868
80 6 -10 -0.4268
90 6 -10 -0.568
-20 8 -10 0.0847
-15 8 -10 0.0499
-10 8 -10 0.0311
-5 8 -10 0.011
0 8 -10 0.038
5 8 -10 0.051
10 8 -10 0.052
15 8 -10 0.068
20 8 -10 0.055
25 8 -10 0.043
30 8 -10 0.04
35 8 -10 0.013
40 8 -10 -0.038
45 8 -10 -0.075
50 8 -10 -0.0594
55 8 -10 -0.0424
60 8 -10 -0.1264
70 8 -10 -0.3076
80 8 -10 -0.4231
90 8 -10 -0.5878
-20 10 -10 0.0965
-15 10 -10 0.0524
-10 10 -10 0.0357
-5 10 -10 0.012
0 10 -10 0.0378
5 10 -10 0.051
10 10 -10 0.051
15 10 -10 0.063
20 10 -10 0.052
25 10 -10 0.043
30 10 -10 0.033
35 10 -10 0.003
40 10 -10 -0.041
45 10 -10 -0.081
50 10 -10 -0.0515
55 10 -10 -0.0319
60 10 -10 -0.1414
70 10 -10 -0.3124
80 10 -10 -0.4175
90 10 -10 -0.5702
-20 15 -10 0.124
-15 15 -10 0.0823
-10 15 -10 0.0585
-5 15 -10 0.027
0 15 -10 0.043
5 15 -10 0.051
10 15 -10 0.043
15 15 -10 0.059
20 15 -10 0.046
25 15 -10 0.034
30 15 -10 0.016
35 15 -10 -0.021
40 15 -10 -0.047
45 15 -10 -0.085
50 15 -10 -0.0693
55 15 -10 -0.1104
60 15 -10 -0.2209
70 15 -10 -0.3168
80 15 -10 -0.4693
90 15 -10 -0.5789
-20 20 -10 0.1376
-15 20 -10 0.0891
-10 20 -10 0.082
-5 20 -10 0.039
0 20 -10 0.045
5 20 -10 0.049
10 20 -10 0.042
15 20 -10 0.053
20 20 -10 0.036
25 20 -10 0.019
30 20 -10 -0.005
35 20 -10 -0.026
40 20 -10 -0.05
45 20 -10 -0.056
50 20 -10 -0.0658
55 20 -10 -0.1614
60 20 -10 -0.0836
70 20 -10 -0.3034
80 20 -10 -0.4737
90 20 -10 -0.5858
-20 25 -10 0.1439
-15 25 -10 0.0898
-10 25 -10 0.0707
-5 25 -10 0.058
0 25 -10 0.057
5 25 -10 0.043
10 25 -10 0.038
15 25 -10 0.04
20 25 -10 0.02
25 25 -10 0.002
30 25 -10 -0.024
35 25 -10 -0.02
40 25 -10 -0.013
45 25 -10 -0.051
50 25 -10 -0.0588
55 25 -10 -0.0635
60 25 -10 -0.0767
70 25 -10 -0.3182
80 25 -10 -0.4575
90 25 -10 -0.6003
-20 30 -10 0.1631
-15 30 -10 0.1002
-10 30 -10 0.0752
-5 30 -10 0.052
0 30 -10 0.05
5 30 -10 0.052
10 30 -10 0.03
15 30 -10 0.042
20 30 -10 0.022
25 30 -10 0.005
30 30 -10 0.028
35 30 -10 0.023
40 30 -10 0.033
45 30 -10 -0.006
50 30 -10 -0.0699
55 30 -10 -0.0676
60 30 -10 -0.1331
70 30 -10 -0.3033
80 30 -10 -0.4154
90 30 -10 -0.6038
-20 -30 0 0.0978
-15 -30 0 0.056
-10 -30 0 0.0342
-5 -30 0 -0.024
0 -30 0 -0.055
5 -30 0 -0.046
10 -30 0 -0.067
15 -30 0 -0.067
20 -30 0 -0.057
25 -30 0 -0.064
30 -30 0 -0.045
35 -30 0 -0.022
40 -30 0 0.045
45 -30 0 -0.001
50 -30 0 -0.009
55 -30 0 -0.051
60 -30 0 -0.183
70 -30 0 -0.383
80 -30 0 -0.483
90 -30 0 -0.633
-20 -25 0 0.0719
-15 -25 0 0.0357
-10 -25 0 0.0167
-5 -25 0 -0.024
0 -25 0 -0.046
5 -25 0 -0.064
10 -25 0 -0.062
15 -25 0 -0.077
20 -25 0 -0.071
25 -25 0 -0.088
30 -25 0 -0.105
35 -25 0 -0.072
40 -25 0 0.005
45 -25 0 -0.052
50 -25 0 -0.013
55 -25 0 -0.018
60 -25 0 -0.148
70 -25 0 -0.398
80 -25 0 -0.518
90 -25 0 -0.63
-20 -20 0 0.0621
-15 -20 0 0.0264
-10 -20 0 0.0194
-5 -20 0 -0.039
0 -20 0 -0.059
5 -20 0 -0.055
10 -20 0 -0.056
15 -20 0 -0.068
20 -20 0 -0.062
25 -20 0 -0.077
30 -20 0 -0.092
35 -20 0 -0.092
40 -20 0 -0.052
45 -20 0 -0.06
50 -20 0 -0.017
55 -20 0 -0.065
60 -20 0 -0.173
70 -20 0 -0.382
80 -20 0 -0.528
90 -20 0 -0.616
-20 -15 0 0.043
-15 -15 0 0.0163
-10 -15 0 -0.0089
-5 -15 0 -0.055
0 -15 0 -0.064
5 -15 0 -0.052
10 -15 0 -0.053
15 -15 0 -0.059
20 -15 0 -0.052
25 -15 0 -0.067
30 -15 0 -0.092
35 -15 0 -0.088
40 -15 0 -0.061
45 -15 0 -0.092
50 -15 0 -0.035
55 -15 0 -0.053
60 -15 0 -0.172
70 -15 0 -0.387
80 -15 0 -0.506
90 -15 0 -0.616
-20 -10 0 0.0054
-15 -10 0 -0.024
-10 -10 0 -0.041
-5 -10 0 -0.0758
0 -10 0 -0.066
5 -10 0 -0.0514
10 -10 0 -0.0495
15 -10 0 -0.0536
20 -10 0 -0.0478
25 -10 0 -0.0548
30 -10 0 -0.0782
35 -10 0 -0.0738
40 -10 0 -0.0662
45 -10 0 -0.0927
50 -10 0 -0.078
55 -10 0 -0.0477
60 -10 0 -0.1512
70 -10 0 -0.3869
80 -10 0 -0.485
90 -10 0 -0.6067
-20 -8 0 -0.0023
-15 -8 0 -0.0372
-10 -8 0 -0.051
-5 -8 0 -0.0773
0 -8 0 -0.066
5 -8 0 -0.0507
10 -8 0 -0.0484
15 -8 0 -0.0514
20 -8 0 -0.0518
25 -8 0 -0.0539
30 -8 0 -0.0608
35 -8 0 -0.0639
40 -8 0 -0.0729
45 -8 0 -0.0861
50 -8 0 -0.0713
55 -8 0 -0.052
60 -8 0 -0.1428
70 -8 0 -0.3637
80 -8 0 -0.4785
90 -8 0 -0.6366
-20 -6 0 -0.0006
-15 -6 0 -0.0472
-10 -6 0 -0.0608
-5 -6 0 -0.0802
0 -6 0 -0.0639
5 -6 0 -0.0509
10 -6 0 -0.0467
15 -6 0 -0.0489
20 -6 0 -0.0498
25 -6 0 -0.053
30 -6 0 -0.0529
35 -6 0 -0.0594
40 -6 0 -0.0739
45 -6 0 -0.1056
50 -6 0 -0.0774
55 -6 0 -0.0583
