alpha beta ele Cn
80 -15 0 0.0169
90 -15 0 0.0068
-20 -10 0 -0.0206
-15 -10 0 -0.0249
-10 -10 0 -0.0303
-5 -10 0 -0.0364
0 -10 0 -0.0407
5 -10 0 -0.0409
10 -10 0 -0.0416
15 -10 0 -0.0384
20 -10 0 -0.0277
25 -10 0 -0.0237
30 -10 0 0.0089
35 -10 0 0.0327
40 -10 0 0.036
45 -10 0 0.0376
50 -10 0 0.0159
55 -10 0 -0.0133
60 -10 0 -0.0234
70 -10 0 -0.0036
80 -10 0 0.0122
90 -10 0 0.006
-20 -8 0 -0.0132
-15 -8 0 -0.018
-10 -8 0 -0.0239
-5 -8 0 -0.0275
0 -8 0 -0.0311
5 -8 0 -0.0323
10 -8 0 -0.0326
15 -8 0 -0.031
20 -8 0 -0.0231
25 -8 0 -0.0185
30 -8 0 -0.0039
35 -8 0 0.0271
40 -8 0 0.0205
45 -8 0 0.0294
50 -8 0 0.0136
55 -8 0 -0.0146
60 -8 0 -0.0273
70 -8 0 -0.0101
80 -8 0 0.0115
90 -8 0 0.0053
-20 -6 0 -0.0062
-15 -6 0 -0.0128
-10 -6 0 -0.0151
-5 -6 0 -0.0192
0 -6 0 -0.022
5 -6 0 -0.0221
10 -6 0 -0.0232
15 -6 0 -0.0221
20 -6 0 -0.0148
25 -6 0 -0.0126
30 -6 0 -0.0026
35 -6 0 0.0094
40 -6 0 0.0061
45 -6 0 0.0218
50 -6 0 0.0138
55 -6 0 -0.0196
60 -6 0 -0.0347
70 -6 0 -0.0167
80 -6 0 0.0096
90 -6 0 0.004
-20 -4 0 0.0001
-15 -4 0 -0.0058
-10 -4 0 -0.0085
-5 -4 0 -0.0115
0 -4 0 -0.0132
5 -4 0 -0.0139
10 -4 0 -0.0146
15 -4 0 -0.013
20 -4 0 -0.0071
25 -4 0 -0.0069
30 -4 0 0.0007
35 -4 0 0.0034
40 -4 0 -0.0015
45 -4 0 0.0126
50 -4 0 0.001
55 -4 0 -0.0243
60 -4 0 -0.0392
70 -4 0 -0.0232
80 -4 0 0.0068
90 -4 0 0.0036
-20 -2 0 0.0015
-15 -2 0 -0.0019
-10 -2 0 -0.0037
-5 -2 0 -0.0053
0 -2 0 -0.006
5 -2 0 -0.0058
10 -2 0 -0.0062
15 -2 0 -0.0061
20 -2 0 -0.0011
25 -2 0 -0.0026
30 -2 0 0.0023
35 -2 0 0
40 -2 0 -0.0094
45 -2 0 0.0041
50 -2 0 -0.0017
55 -2 0 -0.013
60 -2 0 -0.0252
70 -2 0 -0.0226
80 -2 0 0.0044
90 -2 0 0.0026
-20 0 0 0.0013
-15 0 0 -0.0001
-10 0 0 -0.0006
-5 0 0 0.0002
0 0 0 0.0006
5 0 0 0.0006
10 0 0 0
15 0 0 -0.0009
20 0 0 0.0031
25 0 0 0.0003
30 0 0 -0.0002
35 0 0 -0.0069
40 0 0 -0.0146
45 0 0 -0.0075
50 0 0 -0.0095
55 0 0 -0.0173
60 0 0 -0.0173
70 0 0 -0.0039
80 0 0 -0.0011
90 0 0 0.0009
-20 2 0 0.0004
-15 2 0 0.0024
-10 2 0 0.0022
-5 2 0 0.0065
0 2 0 0.0067
5 2 0 0.0067
10 2 0 0.0063
15 2 0 0.0054
20 2 0 0.0049
25 2 0 0.0036
30 2 0 -0.0031
35 2 0 -0.0166
40 2 0 -0.0217
45 2 0 -0.0312
50 2 0 -0.0158
55 2 0 -0.0145
60 2 0 -0.0098
70 2 0 0
80 2 0 -0.0012
90 2 0 -0.0009
-20 4 0 0.0025
-15 4 0 0.0057
-10 4 0 0.0069
-5 4 0 0.0129
0 4 0 0.0141
5 4 0 0.0154
10 4 0 0.0147
15 4 0 0.0132
20 4 0 0.0099
25 4 0 0.0091
30 4 0 -0.0025
35 4 0 -0.0216
40 4 0 -0.0282
45 4 0 -0.045
50 4 0 -0.0312
55 4 0 -0.0231
60 4 0 -0.007
70 4 0 0.0112
80 4 0 0.0049
90 4 0 -0.0014
-20 6 0 0.0072
-15 6 0 0.011
-10 6 0 0.0144
-5 6 0 0.0216
0 6 0 0.0231
5 6 0 0.0237
10 6 0 0.024
15 6 0 0.0234
20 6 0 0.0183
25 6 0 0.015
30 6 0 -0.0015
35 6 0 -0.0226
40 6 0 -0.0362
45 6 0 -0.0535
50 6 0 -0.045
55 6 0 -0.0345
60 6 0 -0.013
70 6 0 0.0124
80 6 0 -0.0044
90 6 0 -0.0022
-20 8 0 0.0112
-15 8 0 0.0179
-10 8 0 0.0215
-5 8 0 0.0299
0 8 0 0.033
5 8 0 0.0341
10 8 0 0.0332
15 8 0 0.0325
20 8 0 0.0264
25 8 0 0.0219
30 8 0 -0.0005
35 8 0 -0.0258
40 8 0 -0.0475
45 8 0 -0.064
50 8 0 -0.0551
55 8 0 -0.0412
60 8 0 -0.0186
70 8 0 0.0077
80 8 0 -0.008
90 8 0 -0.0039
-20 10 0 0.0154
-15 10 0 0.0237
-10 10 0 0.0296
-5 10 0 0.04
0 10 0 0.042
5 10 0 0.0427
10 10 0 0.0427
15 10 0 0.0395
20 10 0 0.0327
25 10 0 0.0261
30 10 0 -0.0021
35 10 0 -0.0364
40 10 0 -0.0586
45 10 0 -0.0769
50 10 0 -0.0643
55 10 0 -0.0431
60 10 0 -0.0192
70 10 0 0.002
80 10 0 -0.0086
90 10 0 -0.0039
-20 15 0 0.0346
-15 15 0 0.0329
-10 15 0 0.0468
-5 15 0 0.0555
0 15 0 0.0585
5 15 0 0.06
10 15 0 0.0579
15 15 0 0.0532
20 15 0 0.034
25 15 0 0.0254
30 15 0 -0.0099
35 15 0 -0.0484
40 15 0 -0.0823
45 15 0 -0.0922
50 15 0 -0.0669
55 15 0 -0.0534
60 15 0 -0.0329
70 15 0 -0.0062
80 15 0 -0.0141
90 15 0 -0.0045
-20 20 0 0.0438
-15 20 0 0.0449
-10 20 0 0.0546
-5 20 0 0.0695
0 20 0 0.0752
5 20 0 0.0768
10 20 0 0.0727
15 20 0 0.0557
20 20 0 0.031
25 20 0 0.0245
30 20 0 -0.0044
35 20 0 -0.036
40 20 0 -0.0768
45 20 0 -0.0605
50 20 0 -0.0441
55 20 0 -0.0528
60 20 0 -0.0457
70 20 0 -0.018
80 20 0 -0.0209
90 20 0 -0.0102
-20 25 0 0.0529
-15 25 0 0.052
-10 25 0 0.064
-5 25 0 0.0845
0 25 0 0.092
5 25 0 0.092
10 25 0 0.0809
15 25 0 0.0613
20 25 0 0.051
25 25 0 0.0432
30 25 0 0.0067
35 25 0 -0.0137
40 25 0 -0.0134
45 25 0 -0.0321
50 25 0 -0.0256
55 25 0 -0.0159
60 25 0 -0.0169
70 25 0 -0.0285
80 25 0 -0.0253
90 25 0 -0.0112
-20 30 0 0.049
-15 30 0 0.0552
-10 30 0 0.0668
-5 30 0 0.0935
0 30 0 0.1061
5 30 0 0.1085
10 30 0 0.0995
15 30 0 0.0831
20 30 0 0.0705
25 30 0 0.055
30 30 0 0.0368
35 30 0 0.0125
40 30 0 0.0056
45 30 0 -0.0201
50 30 0 -0.0141
55 30 0 -0.01
60 30 0 -0.0063
70 30 0 -0.0267
80 30 0 -0.022
90 30 0 -0.0154
-20 -30 25 -0.0479
-15 -30 25 -0.0491
-10 -30 25 -0.0571
-5 -30 25 -0.075
0 -30 25 -0.0913
5 -30 25 -0.085
10 -30 25 -0.0808
15 -30 25 -0.0665
20 -30 25 -0.0353
25 -30 25 -0.0265
30 -30 25 -0.011
35 -30 25 -0.0049
40 -30 25 -0.0141
45 -30 25 -0.0213
50 -30 25 -0.0308
55 -30 25 -0.0708
60 -30 25 -0.046
70 -30 25 0.0118
80 -30 25 0.0082
90 -30 25 0.0089
-20 -25 25 -0.0506
-15 -25 25 -0.0455
-10 -25 25 -0.0531
-5 -25 25 -0.0706
0 -25 25 -0.0812
5 -25 25 -0.0739
10 -25 25 -0.071
15 -25 25 -0.051
20 -25 25 -0.031
25 -25 25 -0.0202
30 -25 25 0.0148
35 -25 25 0.0215
40 -25 25 -0.0337
45 -25 25 -0.0071
50 -25 25 -0.0263
55 -25 25 -0.0625
60 -25 25 -0.0397
70 -25 25 0.023
80 -25 25 0.0158
90 -25 25 0.0072
-20 -20 25 -0.0433
-15 -20 25 -0.0394
-10 -20 25 -0.0474
-5 -20 25 -0.0609
0 -20 25 -0.0688
5 -20 25 -0.0649
10 -20 25 -0.064
15 -20 25 -0.048
20 -20 25 -0.0192
25 -20 25 -0.0124
30 -20 25 0.0279
35 -20 25 0.0432
40 -20 25 0.0554
45 -20 25 0.0162
50 -20 25 -0.0166
55 -20 25 -0.0243
60 -20 25 -0.0148
70 -20 25 0.0212
80 -20 25 0.0158
90 -20 25 0.0088
-20 -15 25 -0.0419
-15 -15 25 -0.0316
-10 -15 25 -0.0421
-5 -15 25 -0.0499
0 -15 25 -0.0554
5 -15 25 -0.0521
10 -15 25 -0.0521
15 -15 25 -0.049
20 -15 25 -0.0239
25 -15 25 -0.014
30 -15 25 0.0248
35 -15 25 0.0483
40 -15 25 0.0644
45 -15 25 0.0505
50 -15 25 0.0082
55 -15 25 -0.0497
60 -15 25 -0.0327
70 -15 25 0.0077
80 -15 25 0.0093
90 -15 25 0.0007
-20 -10 25 -0.0206
-15 -10 25 -0.0193
-10 -10 25 -0.0274
-5 -10 25 -0.036
0 -10 25 -0.0396
5 -10 25 -0.0396
10 -10 25 -0.039
15 -10 25 -0.0351
20 -10 25 -0.0266
25 -10 25 -0.0211
30 -10 25 0.0117
35 -10 25 0.0363
40 -10 25 0.039
45 -10 25 0.0391
50 -10 25 0.0221
55 -10 25 -0.0421
60 -10 25 -0.0327
70 -10 25 -0.005
80 -10 25 0.0057
90 -10 25 0.0031
-20 -8 25 -0.0127
-15 -8 25 -0.0146
-10 -8 25 -0.0205
-5 -8 25 -0.0282
0 -8 25 -0.0305
5 -8 25 -0.0312
10 -8 25 -0.0315
15 -8 25 -0.0283
20 -8 25 -0.0225
25 -8 25 -0.0188
30 -8 25 -0.006
35 -8 25 0.0315
40 -8 25 0.0228
45 -8 25 0.0299
50 -8 25 0.0218
55 -8 25 -0.0298
60 -8 25 -0.0328
70 -8 25 -0.0079
80 -8 25 0.0072
90 -8 25 0.0024
-20 -6 25 -0.0037
-15 -6 25 -0.0087
-10 -6 25 -0.0131
-5 -6 25 -0.02
0 -6 25 -0.0217
5 -6 25 -0.0213
10 -6 25 -0.022
15 -6 25 -0.0189
20 -6 25 -0.0138
25 -6 25 -0.0151
30 -6 25 -0.0057
35 -6 25 0.0126
40 -6 25 0.0108
45 -6 25 0.0224
50 -6 25 0.0239
55 -6 25 -0.0212
60 -6 25 -0.0363
70 -6 25 -0.0108
80 -6 25 0.0075
90 -6 25 0.0012
-20 -4 25 -0.0009
-15 -4 25 -0.0021
-10 -4 25 -0.007
-5 -4 25 -0.012
0 -4 25 -0.0135
5 -4 25 -0.0117
10 -4 25 -0.0122
15 -4 25 -0.0101
20 -4 25 -0.0046
25 -4 25 -0.0081
30 -4 25 -0.0014
35 -4 25 0.0032
40 -4 25 0.0025
45 -4 25 0.0124
50 -4 25 0.01
55 -4 25 -0.0206
60 -4 25 -0.0393
70 -4 25 -0.0172
80 -4 25 0.0057
90 -4 25 0.0006
-20 -2 25 0.001
-15 -2 25 -0.0005
-10 -2 25 -0.0022
-5 -2 25 -0.0053
0 -2 25 -0.0059
5 -2 25 -0.0037
10 -2 25 -0.0048
15 -2 25 -0.0042
20 -2 25 0.001
25 -2 25 -0.0025
30 -2 25 0.0015
35 -2 25 0.0002
40 -2 25 -0.0071
45 -2 25 0.0025
50 -2 25 0.0031
55 -2 25 -0.0125
60 -2 25 -0.0261
70 -2 25 -0.0199
80 -2 25 0.0032
90 -2 25 -0.0008
-20 0 25 0.0009
-15 0 25 0.0008
-10 0 25 0.0003
-5 0 25 0.0008
0 0 25 0.0006
5 0 25 0.001
10 0 25 0.0013
15 0 25 0.0006
20 0 25 0.0045
25 0 25 0.0008
30 0 25 0.0006
35 0 25 -0.0067
40 0 25 -0.0144
45 0 25 -0.0064
50 0 25 -0.0089
55 0 25 -0.019
60 0 25 -0.019
70 0 25 -0.004
80 0 25 -0.0024
90 0 25 -0.0029
-20 2 25 0.0004
-15 2 25 0.0013
-10 2 25 0.0021
-5 2 25 0.0072
0 2 25 0.0075
5 2 25 0.0052
10 2 25 0.0062
15 2 25 0.0044
20 2 25 0.0073
25 2 25 0.0051
30 2 25 -0.0004
35 2 25 -0.0153
40 2 25 -0.0228
45 2 25 -0.0316
50 2 25 -0.0147
55 2 25 -0.0216
60 2 25 -0.0097
70 2 25 -0.0079
80 2 25 -0.0034
90 2 25 -0.0031
-20 4 25 0.0006
-15 4 25 0.0039
-10 4 25 0.0078
-5 4 25 0.0147
0 4 25 0.0153
5 4 25 0.0134
10 4 25 0.0139
15 4 25 0.0114
20 4 25 0.0097
25 4 25 0.0111
30 4 25 0
35 4 25 -0.0193
40 4 25 -0.0291
45 4 25 -0.0467
50 4 25 -0.034
55 4 25 -0.0275
60 4 25 -0.0052
70 4 25 0.007
80 4 25 0.0018
90 4 25 -0.0021
-20 6 25 0.0057
-15 6 25 0.0101
-10 6 25 0.0143
-5 6 25 0.023
0 6 25 0.0236
5 6 25 0.0231
10 6 25 0.0231
15 6 25 0.0214
20 6 25 0.0223
25 6 25 0.0187
30 6 25 0.0024
35 6 25 -0.0221
40 6 25 -0.0392
45 6 25 -0.0575
50 6 25 -0.0497
55 6 25 -0.0413
60 6 25 -0.0123
70 6 25 0.0048
80 6 25 -0.0067
90 6 25 -0.0021
-20 8 25 0.0093
-15 8 25 0.0153
-10 8 25 0.0225
-5 8 25 0.0312
0 8 25 0.0325
5 8 25 0.0333
10 8 25 0.0323
15 8 25 0.0312
20 8 25 0.0313
25 8 25 0.0272
30 8 25 0.0045
35 8 25 -0.0248
40 8 25 -0.0506
45 8 25 -0.0685
50 8 25 -0.0632
55 8 25 -0.0447
60 8 25 -0.0218
70 8 25 0.0044
80 8 25 -0.0008
90 8 25 -0.0037
-20 10 25 0.0152
-15 10 25 0.0203
-10 10 25 0.028
-5 10 25 0.0407
0 10 25 0.0414
5 10 25 0.0425
10 10 25 0.0413
15 10 25 0.0387
20 10 25 0.0377
25 10 25 0.0319
30 10 25 0.0024
35 10 25 -0.0355
40 10 25 -0.0624
45 10 25 -0.0776
50 10 25 -0.0753
55 10 25 -0.0434
60 10 25 -0.0263
70 10 25 0.0029
80 10 25 -0.0059
90 10 25 -0.0037
-20 15 25 0.0365
-15 15 25 0.0327
-10 15 25 0.0424
-5 15 25 0.0544
0 15 25 0.0571
5 15 25 0.0577
10 15 25 0.0544
15 15 25 0.0516
20 15 25 0.035
25 15 25 0.0247
30 15 25 -0.0105
