alpha beta ele Cl
80 -30 0 0.0701
90 -30 0 0.0691
-20 -25 0 -0.0013
-15 -25 0 -0.0012
-10 -25 0 -0.001
-5 -25 0 0.0152
0 -25 0 0.0189
5 -25 0 0.0301
10 -25 0 0.0508
15 -25 0 0.0678
20 -25 0 0.0817
25 -25 0 0.0783
30 -25 0 0.0507
35 -25 0 0.0508
40 -25 0 0.0544
45 -25 0 0.0582
50 -25 0 0.0418
55 -25 0 0.0417
60 -25 0 0.0454
70 -25 0 0.0525
80 -25 0 0.0572
90 -25 0 0.0524
-20 -20 0 0.0106
-15 -20 0 0.0093
-10 -20 0 0.0097
-5 -20 0 0.0185
0 -20 0 0.0198
5 -20 0 0.029
10 -20 0 0.0494
15 -20 0 0.0637
20 -20 0 0.0694
25 -20 0 0.0663
30 -20 0 0.0236
35 -20 0 0.0288
40 -20 0 0.0273
45 -20 0 0.0337
50 -20 0 0.0269
55 -20 0 0.0315
60 -20 0 0.036
70 -20 0 0.0409
80 -20 0 0.0448
90 -20 0 0.04
-20 -15 0 0.0203
-15 -15 0 0.01613
-10 -15 0 0.0137
-5 -15 0 0.0193
0 -15 0 0.0206
5 -15 0 0.0266
10 -15 0 0.042
15 -15 0 0.0573
20 -15 0 0.0581
25 -15 0 0.0534
30 -15 0 0.0145
35 -15 0 -0.0007
40 -15 0 0.0058
45 -15 0 0.0254
50 -15 0 0.0245
55 -15 0 0.0256
60 -15 0 0.0274
70 -15 0 0.0294
80 -15 0 0.0343
90 -15 0 0.0283
-20 -10 0 0.0249
-15 -10 0 0.012
-10 -10 0 0.011
-5 -10 0 0.0182
0 -10 0 0.0184
5 -10 0 0.0213
10 -10 0 0.0326
15 -10 0 0.0432
20 -10 0 0.0455
25 -10 0 0.0398
30 -10 0 0.0066
35 -10 0 -0.0065
40 -10 0 0.0021
45 -10 0 0.0176
50 -10 0 0.0154
55 -10 0 0.0171
60 -10 0 0.0202
70 -10 0 0.0232
80 -10 0 0.0226
90 -10 0 0.0195
-20 -8 0 0.0188
-15 -8 0 0.01
-10 -8 0 0.0105
-5 -8 0 0.0155
0 -8 0 0.0152
5 -8 0 0.0174
10 -8 0 0.0269
15 -8 0 0.0356
20 -8 0 0.0356
25 -8 0 0.0324
30 -8 0 0.0191
35 -8 0 -0.0073
40 -8 0 0.0075
45 -8 0 0.0185
50 -8 0 0.0151
55 -8 0 0.0146
60 -8 0 0.0165
70 -8 0 0.0207
80 -8 0 0.0167
90 -8 0 0.0178
-20 -6 0 0.0121
-15 -6 0 0.0076
-10 -6 0 0.0084
-5 -6 0 0.0124
0 -6 0 0.0109
5 -6 0 0.0126
10 -6 0 0.0205
15 -6 0 0.0273
20 -6 0 0.0272
25 -6 0 0.0252
30 -6 0 0.0198
35 -6 0 0.0048
40 -6 0 0.0145
45 -6 0 0.0169
50 -6 0 0.0137
55 -6 0 0.0112
60 -6 0 0.0128
70 -6 0 0.0147
80 -6 0 0.0144
90 -6 0 0.0153
-20 -4 0 0.0105
-15 -4 0 0.0055
-10 -4 0 0.0063
-5 -4 0 0.0087
0 -4 0 0.007
5 -4 0 0.0083
10 -4 0 0.0137
15 -4 0 0.0186
20 -4 0 0.0173
25 -4 0 0.0179
30 -4 0 0.0135
35 -4 0 0.0041
40 -4 0 0.0095
45 -4 0 0.0197
50 -4 0 0.0098
55 -4 0 0.006
60 -4 0 0.0067
70 -4 0 0.0115
80 -4 0 0.0054
90 -4 0 0.01
-20 -2 0 0.0056
-15 -2 0 0.0041
-10 -2 0 0.0014
-5 -2 0 0.0042
0 -2 0 0.0032
5 -2 0 0.0037
10 -2 0 0.0054
15 -2 0 0.0089
20 -2 0 0.0078
25 -2 0 0.0079
30 -2 0 0.0073
35 -2 0 -0.0005
40 -2 0 0.0033
45 -2 0 0.0121
50 -2 0 0.0063
55 -2 0 0.004
60 -2 0 0.0036
70 -2 0 0.006
80 -2 0 0.0063
90 -2 0 0.0056
-20 0 0 0.0015
-15 0 0 0.0016
-10 0 0 0.0003
-5 0 0 -0.0001
0 0 0 -0.0001
5 0 0 -0.0006
10 0 0 -0.0002
15 0 0 -0.0001
20 0 0 0.0002
25 0 0 -0.0002
30 0 0 0.0002
35 0 0 -0.0102
40 0 0 -0.0029
45 0 0 0.0006
50 0 0 0.0007
55 0 0 -0.0005
60 0 0 -0.0027
70 0 0 -0.0013
80 0 0 0.0018
90 0 0 -0.001
-20 2 0 -0.0016
-15 2 0 -0.0013
-10 2 0 -0.0001
-5 2 0 -0.0039
0 2 0 -0.0031
5 2 0 -0.0043
10 2 0 -0.0067
15 2 0 -0.0089
20 2 0 -0.0083
25 2 0 -0.0084
30 2 0 -0.0055
35 2 0 -0.0086
40 2 0 -0.0104
45 2 0 -0.0036
50 2 0 -0.0044
55 2 0 -0.0045
60 2 0 -0.0056
70 2 0 -0.0063
80 2 0 -0.0027
90 2 0 -0.001
-20 4 0 -0.0049
-15 4 0 -0.0034
-10 4 0 -0.0045
-5 4 0 -0.0088
0 4 0 -0.0068
5 4 0 -0.0087
10 4 0 -0.0139
15 4 0 -0.0189
20 4 0 -0.0175
25 4 0 -0.0167
30 4 0 -0.0116
35 4 0 -0.0099
40 4 0 -0.0137
45 4 0 -0.0102
50 4 0 -0.0116
55 4 0 -0.0086
60 4 0 -0.0082
70 4 0 -0.0082
80 4 0 -0.0068
90 4 0 -0.0011
-20 6 0 -0.0069
-15 6 0 -0.0064
-10 6 0 -0.0068
-5 6 0 -0.0127
0 6 0 -0.0108
5 6 0 -0.0132
10 6 0 -0.0209
15 6 0 -0.0285
20 6 0 -0.0269
25 6 0 -0.026
30 6 0 -0.0163
35 6 0 -0.012
40 6 0 -0.016
45 6 0 -0.0142
50 6 0 -0.0145
55 6 0 -0.0138
60 6 0 -0.0138
70 6 0 -0.0133
80 6 0 -0.0116
90 6 0 -0.0077
-20 8 0 -0.0113
-15 8 0 -0.007
-10 8 0 -0.0088
-5 8 0 -0.0159
0 8 0 -0.0148
5 8 0 -0.0179
10 8 0 -0.0268
15 8 0 -0.037
20 8 0 -0.0363
25 8 0 -0.0332
30 8 0 -0.0203
35 8 0 -0.0119
40 8 0 -0.0174
45 8 0 -0.015
50 8 0 -0.0205
55 8 0 -0.0192
60 8 0 -0.019
70 8 0 -0.0178
80 8 0 -0.0141
90 8 0 -0.0134
-20 10 0 -0.0156
-15 10 0 -0.01
-10 10 0 -0.0099
-5 10 0 -0.0187
0 10 0 -0.0183
5 10 0 -0.0215
10 10 0 -0.0324
15 10 0 -0.0431
20 10 0 -0.0438
25 10 0 -0.0405
30 10 0 -0.0246
35 10 0 -0.0091
40 10 0 -0.0177
45 10 0 -0.02
50 10 0 -0.0215
55 10 0 -0.0206
60 10 0 -0.0215
70 10 0 -0.0233
80 10 0 -0.0168
90 10 0 -0.0164
-20 15 0 -0.0105
-15 15 0 -0.0144
-10 15 0 -0.0132
-5 15 0 -0.02
0 15 0 -0.0205
5 15 0 -0.0269
10 15 0 -0.042
15 15 0 -0.0568
20 15 0 -0.0567
25 15 0 -0.054
30 15 0 -0.0325
35 15 0 -0.0136
40 15 0 -0.0214
45 15 0 -0.0279
50 15 0 -0.0306
55 15 0 -0.0291
60 15 0 -0.0287
70 15 0 -0.0295
80 15 0 -0.0285
90 15 0 -0.0252
-20 20 0 -0.0007
-15 20 0 -0.0074
-10 20 0 -0.0091
-5 20 0 -0.019
0 20 0 -0.0197
5 20 0 -0.0294
10 20 0 -0.0488
15 20 0 -0.0625
20 20 0 -0.068
25 20 0 -0.0671
30 20 0 -0.0416
35 20 0 -0.0428
40 20 0 -0.0428
45 20 0 -0.0358
50 20 0 -0.033
55 20 0 -0.0351
60 20 0 -0.0373
70 20 0 -0.041
80 20 0 -0.039
90 20 0 -0.0369
-20 25 0 0.0112
-15 25 0 0.0031
-10 25 0 0.0016
-5 25 0 -0.0158
0 25 0 -0.0188
5 25 0 -0.0305
10 25 0 -0.0503
